iter	MAE	RMSE
585	0.0705878615	0.0873741649
586	0.07045138094	0.0871822939
587	0.07031652321	0.0869940065
588	0.07013300773	0.08681043741
589	0.07006184733	0.08673800521
590	0.06988170582	0.0865595448
591	0.0697656129	0.08646300665
592	0.06969544469	0.08639234854
593	0.06943014321	0.08610255138
594	0.0691691966	0.08582135035
595	0.0690102029	0.08563658795
596	0.06887939044	0.08545563384
597	0.06866304641	0.0852187278
598	0.06850806728	0.08504086173
599	0.06825462384	0.08477146004
600	0.06812766428	0.08459626607
601	0.0679759751	0.08442457972
602	0.06772770144	0.08416387277
603	0.06757843612	0.08399660237
604	0.06743117943	0.08383298452
605	0.06728590053	0.08367292812
606	0.06717200086	0.08353567709
607	0.06697317429	0.08326813435
608	0.06687950878	0.08317974951
609	0.06676796145	0.0830480711
610	0.06656486316	0.08282844256
611	0.06631569986	0.08251762615
612	0.0661890292	0.08236112076
613	0.06594486885	0.08205972339
614	0.06581401646	0.08189944333
615	0.06572566333	0.081817187
616	0.065502398	0.08154624799
617	0.06537352193	0.08138906851
618	0.06528732188	0.08130968589
619	0.06496801768	0.08101131634
620	0.06473362005	0.08072639666
621	0.06452036333	0.08051936589
622	0.06421074966	0.08023363208
623	0.06408564409	0.08008119401
624	0.06387887207	0.07988347167
625	0.06357760909	0.07960886027
626	0.06338762351	0.07933612939
627	0.06320130447	0.07912019596
628	0.0630728942	0.07900846978
629	0.06295756051	0.07887182105
630	0.06279817474	0.07867482483
631	0.06266091512	0.07849394407
632	0.06259346871	0.07839960575
633	0.06252657673	0.07830679245
634	0.06241414084	0.07817826559
635	0.06234788049	0.07808690146
636	0.06228216706	0.07799701292
637	0.06205463333	0.07771299606
638	0.06198935004	0.07762450154
639	0.06176520772	0.07734793208
640	0.06170036416	0.07726079421
641	0.06149201527	0.07699146248
642	0.06138837355	0.07686602612
643	0.06132599876	0.07681681231
644	0.06126267958	0.07673141347
645	0.06119988644	0.07664737381
646	0.06105271705	0.07648451198
647	0.06088264693	0.07629188824
648	0.06081377691	0.07623113436
649	0.06075175215	0.07614855711
650	0.06069024522	0.07606729158
651	0.06053950967	0.07587299564
652	0.06047782239	0.07579286241
653	0.06044914605	0.07573342734
654	0.06032984425	0.07558199845
655	0.06023004737	0.07546391029
656	0.06016965303	0.07538567747
657	0.06001953938	0.07520294274
658	0.05992648441	0.07508923852
659	0.0598321715	0.07497792854
660	0.05977675535	0.07493270998
661	0.05972029602	0.07488850054
662	0.05963096204	0.07477184321
663	0.05955094714	0.07467607213
664	0.05949198677	0.07460023679
665	0.05938266386	0.07448781245
666	0.05928276088	0.07438742448
667	0.05923011075	0.07434609745
668	0.05896499815	0.07409949178
669	0.05885230393	0.07397063517
670	0.05872292132	0.07386673365
671	0.05861804954	0.07376127885
672	0.0585076354	0.07363658777
673	0.0583610092	0.0734933365
674	0.05829545183	0.07340413528
675	0.05824588256	0.0733238202
676	0.05810214914	0.07318493595
677	0.0580682315	0.0731376779
678	0.05801814762	0.07309931136
679	0.05798464863	0.07305308805
680	0.0579363322	0.07297512033
681	0.05788856691	0.07293799087
682	0.05769868576	0.07273644109
683	0.05764012917	0.07266538917
684	0.05759178246	0.07262940055
685	0.05740487346	0.07243294269
686	0.05734364365	0.07234941549
687	0.05729764096	0.07231437286
688	0.05711394331	0.072122927
689	0.05705664932	0.07205326597
690	0.05701013072	0.07197869353
691	0.05695324556	0.07191005797
692	0.05689686031	0.07184263151
693	0.05683777294	0.07176212727
694	0.05666374194	0.07157287909
695	0.05657119373	0.07143321772
696	0.05651543425	0.07136707536
697	0.05636007696	0.07118084387
698	0.05619581629	0.070996308
699	0.0561529885	0.07092492873
700	0.05609832543	0.07086010763
701	0.05604414111	0.07079642786
702	0.05599043148	0.07073386886
703	0.05594781455	0.07066388694
704	0.05581780794	0.07051863263
705	0.05573789144	0.07040964535
706	0.05568484377	0.07034814275
707	0.05563225847	0.07028772304
708	0.05553066452	0.07018265696
709	0.05548859295	0.07011362383
710	0.05541330507	0.07001713871
711	0.05525371032	0.06983858918
712	0.05517589384	0.06973323113
713	0.05513510305	0.06966700683
714	0.05509495194	0.06960255461
715	0.05503989722	0.06952968784
716	0.05494054675	0.06942657898
717	0.05478456514	0.06925311027
718	0.05468686731	0.0691523918
719	0.05453357285	0.06898332649
720	0.05447965444	0.06891132778
721	0.05442656585	0.06884101439
722	0.05427561835	0.06867592012
723	0.05415641228	0.06853941895
724	0.05408879819	0.06845762568
725	0.05403755714	0.0683895753
726	0.05394222513	0.06829035759
727	0.05384814159	0.06819328472
728	0.05379768053	0.06812610166
729	0.0536512718	0.06796706732
730	0.0535518164	0.06786092367
731	0.05339123438	0.06767375817
732	0.05329958426	0.06757984829
733	0.05314773604	0.06740194502
734	0.05305111809	0.06730014445
735	0.05300207109	0.06723352022
736	0.05281432205	0.06705928124
737	0.05276613578	0.06699400679
738	0.05271865378	0.06693018831
739	0.05267186246	0.06686778523
740	0.0525172532	0.06669087093
741	0.05238797151	0.06651187634
742	0.0522421019	0.06634436752
743	0.05210654273	0.06619841876
744	0.05197322094	0.06607880841
745	0.05196527973	0.06606645289
746	0.05190365709	0.06599327906
747	0.05184302207	0.06592213992
748	0.05176792268	0.06586004855
749	0.05167469939	0.06576054024
750	0.05152009653	0.06560356647
751	0.05144235851	0.06550822736
752	0.05129442303	0.06531367098
753	0.05115908347	0.06516312688
754	0.05108296267	0.06507102496
755	0.05094415232	0.06492224643
756	0.05087191548	0.06485141011
757	0.0508077778	0.06475993361
758	0.05073686581	0.06469149221
759	0.05059253299	0.06450386744
760	0.05049810974	0.06441287419
761	0.05047873531	0.0643953801
762	0.05033660055	0.06421265039
763	0.05024736298	0.06410195345
764	0.05015944114	0.06399415904
765	0.04999535115	0.06380499546
766	0.04993043057	0.06374442947
767	0.04985697463	0.06365733164
768	0.04973578829	0.06353291303
769	0.04961732715	0.06341223869
770	0.04951342648	0.06333132553
771	0.04940205521	0.06318171746
772	0.04930998449	0.0630938758
773	0.04919366353	0.06297858295
774	0.04912628038	0.06291548236
775	0.04902646496	0.0628404745
776	0.04891311426	0.06272882765
777	0.04882043582	0.06260766125
778	0.04874070576	0.06251439818
779	0.04867400847	0.06244960256
780	0.04866631079	0.06243961536
781	0.04858635076	0.06234890718
782	0.04846769944	0.06217678008
783	0.04837728336	0.06206126611
784	0.04829995531	0.0619732978
785	0.04816066756	0.06179576263
786	0.04807294575	0.06168456241
787	0.04800790774	0.06162385642
788	0.04792193226	0.06154471792
789	0.04783831992	0.0614680174
790	0.04777477485	0.06140945114
791	0.04769478383	0.0613037091
792	0.04762511944	0.06122084758
793	0.04756050049	0.06112193879
794	0.04747549567	0.06101471636
795	0.0473940508	0.06094118062
796	0.04730086822	0.06084359827
797	0.04723998071	0.0607635258
798	0.04716182349	0.06066168035
799	0.04710163626	0.06058351587
800	0.0470103828	0.06048964719
801	0.04694706767	0.06040609372
802	0.04688420112	0.06031073736
803	0.04684097478	0.06020530984
804	0.04672114301	0.06005879695
805	0.04666001115	0.05998466334
806	0.04659850597	0.05989252132
807	0.04655590495	0.05979029101
808	0.04651449014	0.05969125066
809	0.04641776723	0.05957815974
810	0.04636083564	0.05950555203
811	0.04630464787	0.05943436753
812	0.04621658456	0.05934455355
813	0.04615694775	0.05927365381
814	0.04607031667	0.05918630463
815	0.04594654569	0.05908044415
816	0.04586165178	0.05899600013
817	0.04577808412	0.05891394128
818	0.04565733153	0.05881219776
819	0.04558119212	0.05874727811
